,Symbol,Name
206,IICU,ICICI Prudential Healthcare
207,HDFI,HDFC Nifty Next 50
208,ICBS,ICICI Prudential BSE 500
209,HDFN,HDFC Nifty Growth
210,AXIN,Axis Consumption
211,AITB,Aditya Birla Sun Life Nifty IT
212,BAJI,Bajaj Finserv Nifty Bank
213,UTIX,UTI S&P BSE Sensex Next 50
214,MOTP,Motilal Oswal S&P BSE Quality
215,ICIP,ICICI Prudential Liquid
216,SBET,Goldman Sachs CNX Nifty Shariah BeES
217,AXIP,Axis S&P BSE Sensex
218,KOTU,Kotak NIFTY India Consumption
219,SIFU,SBI Nifty Private Bank
220,BHAB,BHARAT Bond ETF April 2030 Growth
221,AITY,Birla Sun Life Gold
222,MIRI,Mirae Asset Nifty India Manufacturing
223,MIRT,Mirae Asset ESG Sector Leaders
224,MIRE,Mirae Asset Nifty Next 50
225,MOTW,Motilal Oswal S&P BSE Healthcare
226,ICII,ICICI Prudential Sensex iWIN
227,ICIA,ICICI Prudential Bank
228,AXIH,Axis Healthcare
229,LICO,LIC MF Nifty 50
230,MOSP,Motilal Oswal S&P BSE Low Volatility
231,ADIL,Aditya Birla Sun Life Banking
232,NIPI,Nippon India Sensex
233,IFRB,Goldman Sachs Infrastructure BeES
234,M50,Motilal Oswal MOSt Shares M50
235,ICIU,ICICI Prudential Midcap Select iWIN
236,DSPT,DSP Nifty 50
237,SBIS,SBI Sensex
238,SBIF,SBI Nifty Bank
239,MIRD,Mirae Asset Nifty 1D Rate Liquid
240,DSPF,DSP Nifty Midcap 150 Quality 50
241,IICA,ICICI Prudential Nifty Commodities
242,DSPU,DSP Nifty PSU Bank
243,DSPI,DSP Nifty Bank
244,BHRB,BHARAT Bond April 2032 Growth
245,SIET,SBI Quality
246,DSPY,DSP Nifty IT
247,LICU,LIC MF Nifty 100
248,MIRK,Mirae Asset Nifty Bank
249,MIRN,Mirae Asset Nifty Financial Services
250,UTIY,UTI Nifty Midcap 150
251,DSPX,DSP S&P BSE Sensex
252,HDFP,HDFC Nifty Private Bank
253,NIPO,Reliance R Shares CNX 100
254,HDSE,HDFC Sensex
255,KTMF,Kotak Sensex Exchange Traded Scheme
256,HDFF,HDFC Nifty 100
257,ADIG,Aditya BSL CRISIL Liquid Ovrnght
258,DSPS,DSP Silver
259,LICF,IDBI Gold
260,BIRA,Aditya Birla Sun Life Sensex
261,UTIF,UTI Nifty IT
262,HFCS,HDFC S&P BSE 500
263,UTIS,UTI Sensex
264,NIPA,Nippon India Nifty SDL - 2026 Maturity
265,ICII,ICICI Prudential Sensex iWIN
266,SBET,Goldman Sachs CNX Nifty Shariah BeES
267,MIRF,Mirae Asset Nifty 100 Low Volatility 30
268,UTIN,UTI Nifty
269,DSPL,DSP BR Liquid NS
270,QUAN,Quantum
271,KTPU,Kotak PSU Bank
272,AXIG,Axis Banking
273,MIRL,Mirae Asset Silver
274,AXIE,Axis Technology ETF
275,TATF,Tata Nifty Private Bank
276,HDFO,HDFC NIFTY100 Low Volatility 30
277,KOTM,Kotak Banking
278,MOTE,Motilal Oswal S&P BSE Enhanced Value
279,HDFK,HDFC Nifty PSU Bank
280,QUAN,Quantum
281,HDFY,HDFC NIFTY Growth Sectors 15
282,UTIX,UTI S&P BSE Sensex Next 50
283,MIRK,Mirae Asset Nifty Bank
284,BANY,Bandhan Nifty 50
285,ADIQ,Aditya Birla Sun Life Nifty 200 Quality 30
286,MIRT,Mirae Asset ESG Sector Leaders
287,UTIY,UTI Nifty Midcap 150
288,UTIS,UTI Sensex
289,MOTP,Motilal Oswal S&P BSE Quality
290,HDFV,HDFC NIFTY50 Value 20
291,ICIQ,ICICI Prudential Nifty 200 Quality 30
292,INVS,Invesco India Gold
293,LICM,LIC MF Sensex
294,SBIE,SBI BSE 100
295,DSPN,DSP Nifty 50 Equal Weight
296,AXIH,Axis Healthcare
297,LICU,LIC MF Nifty 100
298,DSPR,DSP Nifty Private Bank
299,M50,Motilal Oswal MOSt Shares M50
300,INVS,Invesco India Gold
301,LICF,IDBI Gold
