Symbol,Underlying,SecurityName,DateofListing,MarketLot,ISINNumber,FaceValue
LIQUIDIETF,S&PBSELiquidRateIndex.,ICICIPRAMC-ICICILIQ,26-Sep-18,1,INF109KC1KT9,1000
NIFTYETF,Nifty50,MIRAEAMC-MAN50ETF,26-Nov-18,1,INF769K01EG9,100
SBIETFQLTY,Nifty200Quality30Index,SBIAMC-SBIETFQLTY,17-Dec-18,1,INF200KA1WX6,10
ABSLNN50ET,NiftyNext50,BIRLASLAMC-ABSLNN50ET,21-Dec-18,1,INF209KB16D7,10
NETF,TataNifty50ExchangeTradedFund,TATAAML-NETF,04-Jan-19,1,INF277K015R5,10
MID150BEES,NiftyMidcap150,NIPINDETFMIDCAP150,04-Feb-19,1,INF204KB1V68,10
UTISXN50,BSESensexNext50,UTIAMC-UTISXN50,13-Mar-19,1,INF789F1AUU3,1
IBMFNIFTY,Nifty50,IBULLSAMC-IBMFNIFTY,08-May-19,1,INF666M01FS5,10
BANKIETF,NiftyBankIndex,ICICIPRAMC-IPRU5008,15-Jul-19,1,INF109KC15I8,10
PVTBANIETF,NiftyPrivateBankIndex,ICICIPRAMC-ICICIBANKP,14-Aug-19,1,INF109KC18U7,10
NPBET,NiftyPrivateBankIndex,TATAAML-NPBET,09-Sep-19,1,INF277K010X4,10
ABSLBANETF,NiftyBank,BIRLASLAMC-ABSLBANETF,30-Oct-19,1,INF209KB17D5,10
EBBETF0423,NiftyBHARATBond,EDELAMC-EBBETF0423,02-Jan-20,1,INF754K01KN4,1000
EBBETF0430,NiftyBHARATBond,EDELAMC-EBBETF0430,02-Jan-20,1,INF754K01KO2,1000
MIDCAPIETF,NiftyMidcap150,ICICIPRAMC-ICICIM150,28-Jan-20,1,INF109KC11W8,10
NEXT50,NiftyNext50,MIRAEAMC-MANXT50,30-Jan-20,1,INF769K01FN2,275
ITBEES,NiftyIT,NIPINDETFIT,01-Jul-20,1,INF204KB15V2,10
EBBETF0425,NiftyBHARATBondIndex–April2025,EDELAMC-EBBETF0425,29-Jul-20,1,INF754K01LD3,1000
EBBETF0431,NiftyBHARATBondIndex–April2031,EDELAMC-EBBETF0431,29-Jul-20,1,INF754K01LE1,1000
ALPL30IETF,NiftyAlphaLow-Volatility30Index,ICICIPRAMC-ICICIALPLV,18-Aug-20,1,INF109KC17V7,10
ITIETF,NIFTYITIndex,ICICIPRAMC-ICICITECH,20-Aug-20,1,INF109KC16I6,10
HDFCNIFBAN,NIFTYBankIndex,HDFCAMC-HDFCNIFBAN,28-Aug-20,1,INF179KC1HY0,223.31
UTIBANKETF,NiftyBankIndex,UTIAMC-UTIBANKETF,03-Sep-20,1,INF789F1AUV1,1
SBIETFIT,NiftyITIndex,SBIAMC-SBIETFIT,22-Oct-20,1,INF200KA1S14,10
SBIETFPB,NiftyPrivateBankIndex,SBIAMC-SBIETFPB,22-Oct-20,1,INF200KA1S22,10
AXISBNKETF,NiftyBank,AXISAMC-AXISBNKETF,09-Nov-20,1,INF846K01X63,100
SDL24BEES,NiftyCPSEBondPlusSDLSep202450:50Index,NIPPONINDIA-NIMFXX,18-Nov-20,1,INF204KB18W4,10
ESG,Nifty100ESGSectorLeadersTotalReturnIndex,MIRAEAMC-MAESGETF,24-Nov-20,1,INF769K01GS9,17.5
MOGSEC,Nifty5yrBenchmarkG-SecIndex,MOTILALAMC-G5,16-Dec-20,1,INF247L01AK4,10
IT,NIFTYITIndex,KOTAKMAMC-KOTAKIT,05-Mar-21,1,INF174KA1GC5,10
AXISTECETF,NIFTYITIndex,AXISAMC-AXISTECETF,31-Mar-21,1,INF846K01Y96,100
SDL26BEES,NiftySDLApr2026Top20EqualWeightIndex,RELCAPAMC-SDL26BEES,31-Mar-21,1,INF204KC1022,10
GILT5YBEES,Nifty5yrBenchmarkG-SecIndex,RELCAPAMC-NETFGILT5Y,08-Apr-21,1,INF204KC1030,10
MAFANG,NYSEFANG+TotalReturnIndex,MIRAEAMC-MAFANG,14-May-21,1,INF769K01HF4,40
AXISBPSETF,NiftyAAABondPlusSDLApr202650:50Index,AXISAMC-AXISBPSETF,18-May-21,1,INF846K01Z04,1
AXISHCETF,NiftyHealthcareIndex,AXISAMC-AXISHCETF,21-May-21,1,INF846K01Z12,10
HEALTHIETF,NiftyHealthcareIndex,ICICIPRAMC-ICICIPHARM,25-May-21,1,INF109KC1Q72,10
PHARMABEES,NIFTYPharmaIndex,NIPPONAMC-NETFPHARMA,07-Jul-21,1,INF204KC1089,10
SBIETFCON,NiftyIndiaConsumptionIndex,SBIAMC-SBIETFCON,29-Jul-21,1,INF200KA1X17,10
BFSI,NiftyFinancialServicesIndex,MIRAEAMC-MAFSETF,05-Aug-21,1,INF769K01HI8,10
FMCGIETF,NiftyFMCGIndex,ICICIPRAMC-ICICIFMCG,10-Aug-21,1,INF109KC19V3,10
AXISCETF,NIFTYIndiaConsumptionIndex,AXISAMC-AXISCETF,23-Sep-21,1,INF846K016C7,10
MASPTOP50,S&P500Top50TotalReturnIndex,MIRAEAMC-MASPTOP50,24-Sep-21,1,INF769K01HP3,20
BSLSENETFG,BSESENSEXIndex,BIRLASLAMC-BSLSENETFG,06-Oct-21,1,INF209KB10E8,10
HEALTHY,NiftyHealthcareTRIIndex,BIRLASLAMC-HEALTHY,28-Oct-21,1,INF209KB10C2,1
CONSUMIETF,NiftyIndiaConsumptionIndex,ICICIPRAMC-ICICICONSU,02-Nov-21,1,INF109KC1V42,10
TECH,NiftyITTRIIndex,BIRLASLAMC-TECH,03-Nov-21,1,INF209KB11D8,1
EQUAL50ADD,NIFTY50EqualWeightIndex,DSPAMC-DSPNEWETF,12-Nov-21,1,INF740KA1QK2,10
MAHKTECH,HangSengTECHTotalReturnIndex,MIRAEAMC-MAHKTECH,10-Dec-21,1,INF769K01HS7,10
BBETF0432,NiftyBHARATBondIndex-April2032,EDELAMC-BBETF0432,17-Dec-21,1,INF754K01OB1,1000
ALPHA,NIFTYAlpha50Index,KOTAKMAMC-KOTAKALPHA,29-Dec-21,1,INF174KA1IA5,10
MONQ50,NasdaqQ-50TotalReturnIndex,MOTILALAMC-MONQ50,29-Dec-21,1,INF247L01AU3,10
NIFTY50ADD,Nifty50Index,DSPAMC-DSPN50ETF,30-Dec-21,1,INF740KA1CL0,10
MIDQ50ADD,NiftyMidcap150Quality50Index,DSPAMC-DSPQ50ETF,30-Dec-21,1,INF740KA1QL0,10
AUTOIETF,NiftyAutoIndex,ICICIPRAMC-ICICIAUTO,18-Jan-22,1,INF109KC10V2,10
AUTOBEES,NiftyAutoIndex,NIPPONAMC-NETFAUTO,25-Jan-22,1,INF204KC1337,10
SILVERIETF,DomesticPriceofSilver,ICICIPRAMC-ICICISILVE,31-Jan-22,1,INF109KC1Y56,10
MAKEINDIA,NiftyIndiaManufacturingTotalReturnIndex,MIRAEAMC-MAMFGETF,02-Feb-22,1,INF769K01IB1,50
SILVER,PhysicalpriceofSilver,BIRLASLAMC-SILVER,03-Feb-22,1,INF209KB19F6,1
MIDCAP,NiftyMidcap50Index,KOTAKMAMC-KOTAKMID50,04-Feb-22,1,INF174KA1IB3,10
SILVERBEES,NipponIndiaSilverETF,NIPPONAMC-SILVERBEES,07-Feb-22,1,INF204KC1402,10
MOMOMENTUM,Nifty200Momentum30TotalReturnIndex,MOTILALAMC-MOMOMENTUM,17-Feb-22,1,INF247L01BK2,10
GSEC5IETF,Nifty5yrBenchmarkG-SecIndex,ICICIPRAMC-ICICI5GSEC,10-Mar-22,1,INF109KC14A8,10
MIDCAPETF,MiraeAssetMutualFund-MiraeAssetNiftyMidcap150ETF,MIRAEAMC-MAM150ETF,15-Mar-22,1,INF769K01IC9,5
LOWVOL1,KotakNifty100LowVol30ETF,KOTAKMAMC-KOTAKLOVOL,29-Mar-22,1,INF174KA1IY5,10
MOLOWVOL,NiftyMidcap100TRI,MOTILALAMC-MOLOWVOL,30-Mar-22,1,INF247L01BL0,10
TNIDETF,NiftyIndiaDigitalIndex,TATAAML-TNIDETF,08-Apr-22,1,INF277KA1364,10
MOHEALTH,MotilalOswalS&PBSEHealthcareETF,MOTILALAMC-MOHEALTH,04-Aug-22,1,INF247L01BB1,10
CONS,"KotakNiftyIndiaConsumptionETF	",KOTAKMAMC-KOTAKCONS,04-Aug-22,1,INF174KA1JE5,10
MOM30IETF,"ICICIPrudentialNifty200Momentum30ETF	",ICICIPRAMC-ICICIMOM30,10-Aug-22,1,INF109KC17C7,10
HDFCNEXT50,"HDFCNIFTYNEXT50ETF	",HDFCAMC-HDFCNEXT50,11-Aug-22,1,INF179KC1HS2,418.18
HDFCNIF100,"HDFCNIFTY100ETF	",HDFCAMC-HDFCNIF100,11-Aug-22,1,INF179KC1HR4,177.27
MNC,"KotakNiftyMNCETF	",KOTAKMAMC-KOTAKMNC,16-Aug-22,1,INF174KA1JF2,10
MOMENTUM,"AdityaBirlaSunLifeNifty200Momentum30ETF	",BIRLASLAMC-MOMENTUM,19-Aug-22,1,INF209KB14K7,1
NIFTYQLITY,"AdityaBirlaSunLifeNifty200Quality30ETF	",BIRLASLAMC-NIFTYQLITY,19-Aug-22,1,INF209KB15K4,1
INFRAIETF,"ICICIPrudentialNiftyInfrastructureETF	",ICICIPRAMC-ICICIINFRA,23-Aug-22,1,INF109KC16E5,10
SILVERADD,"DSPSilverETF	",DSPAMC-DSPSILVETF,25-Aug-22,1,INF740KA1RE3,10
MOQUALITY,"MotilalOswalS&PBSEQualityETF	",MOTILALAMC-MOQUALITY,26-Aug-22,1,INF247L01BH8,10
MOVALUE,"MotilalOswalS&PBSEEnhancedValueETF	",MOTILALAMC-MOVALUE,26-Aug-22,1,INF247L01BE5,10
HDFCSILVER,"HDFCSilverETF	",HDFCAMC-HDFCSILVER,07-Sep-22,1,INF179KC1DI2,52.52
AXISILVER,"AxisSilverETF	",AXISAMC-AXISILVER,27-Sep-22,1,INF846K011K1,10
HDFCVALUE,"HDFCNIFTY50Value20ETF	",HDFCAMC-HDFCVALUE,29-Sep-22,1,INF179KC1DK8,86.07
HDFCGROWTH,HDFCNIFTYGrowthSectors15ETF,HDFCAMC-HDFCGROWTH,29-Sep-22,1,INF179KC1DJ0,89.04
HDFCQUAL,HDFCNIFTY100Quality30ETF,HDFCAMC-HDFCQUAL,29-Sep-22,1,INF179KC1DL6,38.59
HDFCLOWVOL,"HDFCNIFTY100LowVolatility30ETF	",HDFCAMC-HDFCLOWVOL,17-Oct-22,1,INF179KC1HU8,126.18
HDFCMOMENT,"HDFCNIFTY200Momentum30ETF	",HDFCAMC-HDFCMOMENT,17-Oct-22,1,INF179KC1HV6,190.61
HDFCNIFIT,HDFCNIFTYITETF,HDFCAMC-HDFCNIFIT,22-Nov-22,1,INF179KC1IA8,299.92
HDFCPVTBAN,HDFCNIFTYPrivateBankETF,HDFCAMC-HDFCPVTBAN,22-Nov-22,1,INF179KC1HZ7,216.75
FINIETF,ICICIPrudentialNiftyFinancialServicesEx-BankETF,ICICIPRAMC-ICICIFIN,30-Nov-22,1,INF109KC17L8,10
SILVER1,KotakSilverETF,KOTAKMAMC-KOTAKSILVE,14-Dec-22,1,INF174KA1KU9,10
GSEC10IETF,ICICIPrudentialNifty10yrBenchmarkG-SecETF,ICICIPRAMC-ICICI10GS,16-Dec-22,1,INF109KC18O0,10
EBBETF0433,BHARATBondETF-April2033,EDELAMC-EBBETF0433,16-Dec-22,1,INF754K01QX0,1000
COMMOIETF,ICICIPrudentialNiftyCommoditiesETF,ICICIPRAMC-ICICICOMMO,21-Dec-22,1,INF109KC19O8,10
BANKETFADD,DSPNiftyBankETF,DSPAMC-DSPBANKETF,06-Jan-23,1,INF740KA1RX3,10
LIQUID1,KotakNifty1DRateLiquidETF,KOTAKMAMC-KOTAKLIQ,01-Feb-23,1,INF174KA1LV5,1000
HDFCSML250,HDFCNIFTYSmallcap250ETF,HDFCAMC-HDFCSML250,21-Feb-23,1,INF179KC1FB2,91.31
HDFCMID150,HDFCNIFTYMidcap150ETF,HDFCAMC-HDFCMID150,21-Feb-23,1,INF179KC1HT0,115.95
HDFCBSE500,HDFCS&PBSE500ETF,HDFCAMC-HDFCBSE500,21-Feb-23,1,INF179KC1EZ4,23.86
GOLDETF,MiraeAssetGoldETF,MIRAEAMC-MAGOLDETF,24-Feb-23,1,INF769K01JP9,10
ABSLLIQUID,AdityaBirlaSunLifeCRISILOvernightFundAIIndexETF,BIRLASLAMC-ABSLLIQUID,16-Mar-23,1,INF209KB18T9,1000
PSUBNKIETF,ICICIPrudentialNiftyPSUBankETF,ICICIPRAMC-PSUBANKICI,21-Mar-23,1,INF109KC10S8,10
AXSENSEX,AXISS&PBSESENSEXETF,AXISAMC-AXSENSEX,29-Mar-23,1,INF846K010Q0,10
LOWVOL,MiraeAssetNifty100LowVolatility30ETF,MIRAEAMC-MANV30F,31-Mar-23,1,INF769K01JU9,100
