SYMBOL
ABCAPITAL
ADANIPORTS
ASIANPAINT
AMBER
BEL
BSOFT
ENGINERSIN
FIRSTCRY
GAIL
HAL
HDFCBANK
HDFCLIFE
HINDPETRO
INDUSTOWER
IOC
IRCON
IRCTC
IREDA
IRFC
ITC
JIOFIN
JUBLFOOD
KAYNES
MAZDOCK
NESTLEIND
NMDC
OLAELEC
ONGC
RAILTEL
RVNL
TATACOMM
TATAMOTORS
TATASTEEL
TITAN
ZOMATO
